claim,label,preds,em,f1,acc,wall_time,total_tokens,steps,tool_cost,token_cost,total_cost
Kristen Bell acted in a noir drama film.,REFUTES,SUPPORTS,False,0.0,0,0.37314653396606445,41,1,0,0.0008200000000000001,0.0008200000000000001
Las Vegas's population nearly doubled between 1990 and 2000.,SUPPORTS,SUPPORTS,True,1.0,1,0.3770477771759033,41,1,0,0.0008200000000000001,0.0008200000000000001
Michael C. Hall is an actor in the television series Doctor.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.3558690547943115,43,1,0,0.0008600000000000001,0.0008600000000000001
House of 1000 Corpses is a song.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.5592794418334961,40,1,0,0.0008,0.0008
Water is a liquid.,SUPPORTS,SUPPORTS,True,1.0,1,1.0298080444335938,35,1,0,0.0007000000000000001,0.0007000000000000001
The Amazing Spider-Man 2 was written in one draft.,REFUTES,NOT ENOUGH INFO,False,0.0,0,0.48307108879089355,43,1,0,0.0008600000000000001,0.0008600000000000001
Catherine Zeta-Jones was incapable of starring in Ocean's Twelve.,REFUTES,REFUTES,True,1.0,0,0.5091264247894287,45,1,0,0.0009000000000000001,0.0009000000000000001
Grey's Anatomy is not a drama series.,REFUTES,REFUTES,True,1.0,1,0.5680267810821533,40,1,0,0.0008,0.0008
Stand-up comedy is generally intended to be humorous or amusing.,SUPPORTS,SUPPORTS,True,1.0,1,0.45073819160461426,43,1,0,0.0008600000000000001,0.0008600000000000001
The Lakers failed to make it to the 1991 NBA Finals.,REFUTES,REFUTES,True,1.0,0,0.4548218250274658,42,1,0,0.00084,0.00084
Rachel McAdams played professional tennis.,NOT ENOUGH INFO,REFUTES,False,0.0,0,0.4475209712982178,37,1,0,0.0007400000000000001,0.0007400000000000001
Kaitlin Olson did not begin her career in an improvisational group.,REFUTES,REFUTES,True,1.0,1,0.5111246109008789,45,1,0,0.0009000000000000001,0.0009000000000000001
Event management includes event fighting.,NOT ENOUGH INFO,NOT ENOUGH INFO,True,1.0,0,0.3816819190979004,37,1,0,0.0007400000000000001,0.0007400000000000001
Natalie Wood worked in films when she was seven years old.,NOT ENOUGH INFO,SUPPORTS,False,0.0,0,0.49497199058532715,43,1,0,0.0008600000000000001,0.0008600000000000001
Atomic Blonde is about a spy.,SUPPORTS,SUPPORTS,True,1.0,1,0.43123388290405273,39,1,0,0.0007800000000000001,0.0007800000000000001
